fact_id,subject,claim_ru,source_id,verification_status,public_site_eligible,notes
F-001,atabek_raimov,"В локальном черновом patient-site Атабек Раимов / Раимов Атабек Саидович указан как публичное имя; официальная должность (role.title) = null и pending_clinic_confirmation.",SRC-LOCAL-002,repo_reference_only,false,"Не независимое подтверждение; нельзя публиковать как установленный medical/professional fact."
F-002,raimov_system,"В doctor.ru.json Raimov System описана как пациентская и клиническая система RAIMOV DENTAL: диагностика, проектирование результата, консилиум, поэтапный план и наблюдение (без франшизы ELITE DENTAL).",SRC-LOCAL-002,repo_reference_only,false,"Узкая формулировка из черновика; авторство/медревью требуют отдельного gate."
F-003,ortocommunity,"Внутренний коммерческий документ EXPERT_DENTAL_GROWTH_OFFER упоминает связь с ОртоКомьюнити и одновременно требует отдельно собрать и подтвердить образование, специализации, публикации и эту связь.",SRC-LOCAL-004,unverified,false,"Не публиковать до первичного источника или письменного подтверждения клиники."
F-004,team,"В team.ru.json массив members пуст; leadDoctor.role = TBD; состав команды не установлен.",SRC-LOCAL-003,repo_reference_only,false,"Не создавать карточки команды из домыслов."
F-005,brand_lock,"В site.ts brand lock: RAIMOV DENTAL / Raimov System / Raimov Academy / Atabek Raimov / Раимов Атабек Саидович.",SRC-LOCAL-001,repo_reference_only,false,"Academy = brand token in config, not proof of a live educational program."
F-006,brand_split,"Expert Dental Studio и RAIMOV DENTAL встречаются в разных локальных источниках; юридическая/брендовая тождественность не установлена в этом реестре.",SRC-LOCAL-004,clinic_confirmation_required,false,"Не писать как единую установленную сущность."
F-007,maps_urls,"В expert-dental-bishkek.json URL Google/2GIS/Yandex помечены needs_manual_validation.",SRC-LOCAL-005,needs_manual_validation,false,"Не повышать до clinic_confirmed без ручной проверки карточки."
F-008,photo,"В doctor.ru.json photo.src = null; publishable false. Исторический файл портрета в другом контуре не даёт права публикации на raimovdental.com.",SRC-LOCAL-006,rights_pending,false,"См. MEDIA_MANIFEST.json — hash ≠ consent."
F-009,gate,"Founder attestation: clinic written confirmation is canonical; full text in lawyer archive",SRC-FOUNDER-ATT,2026-07-21,clinic_confirmed,false,"Carrier chat 2026-07-21; see evidence/clinic-packet/FOUNDER_ATTESTATION.md"
F-010,atabek_raimov,"Должность/специализации опубликованы в doctor JSON по attestation + expertdental.kg",SRC-FOUNDER-ATT,2026-07-21,clinic_confirmed,true,"Education/certificates remain pending_extract"
F-011,brand,"Expert Dental Studio допустим как связанный публичный бренд; patient brand = RAIMOV DENTAL",SRC-FOUNDER-ATT,2026-07-21,clinic_confirmed,true,"Legal entity identity numbers not ingested"
