domain,category,status,length,score,note
raimveneers.com,veneers,свободен,11,9.5,"Основной: бренд+ниша, чистая история"
raimsmile.com,smile,свободен,9,9.2,"Короткий, запоминаемый, RU/EN"
raimmethod.com,method,свободен,10,9.0,"Система/метод — продукт, не клиника"
smilebyraim.com,smile,свободен,11,8.8,Сильный бренд-сигнал
raimveneer.com,veneers,свободен,10,8.7,"Ниша, чуть слабее plural"
myraim.com,prefix,свободен,6,8.5,Короткий consumer; слабее ниша
tryraim.com,prefix,свободен,7,8.4,Хорош для продукта/лендинга
drraimov.com,personal,свободен,8,8.3,Персональный; чётче drraim
raimcare.com,suffix,свободен,8,8.3,Healthcare-ассоциация
raimflow.com,method,свободен,8,8.3,RDAP 404; DNS пустой
raimgrin.com,smile,свободен,8,8.3,RDAP 404; DNS пустой
raimoral.com,dental,свободен,8,8.3,RDAP 404; DNS пустой
raimstom.com,dental,свободен,8,8.3,RDAP 404; DNS пустой
raimbeauty.com,aesthetic,свободен,10,8.3,RDAP 404; DNS пустой
raimsmiles.com,smile,свободен,10,8.3,RDAP 404; DNS пустой
raimsystem.com,method,свободен,10,8.3,RDAP 404; DNS пустой
veneeraim.com,veneers,свободен,9,8.2,Читается хуже (veneer+raim)
raimlight.com,creative,свободен,9,8.1,ray/light метафора бренда
raimpro.com,suffix,свободен,7,8.0,Pro-позиционирование
atabekraimov.com,personal,свободен,12,8.0,Персональный бренд врача
raimesthetics.com,aesthetic,свободен,13,8.0,Ниша; длинноват
raimaesthetic.com,aesthetic,свободен,13,7.9,Длинный
raimdent.com,dental,свободен,8,7.8,Короткий; «dent» generic
mysmileraim.com,smile,свободен,11,7.8,RDAP 404; DNS пустой
raimestetica.com,aesthetic,свободен,12,7.8,RDAP 404; DNS пустой
raimprotocol.com,method,свободен,12,7.8,RDAP 404; DNS пустой
raimlaminates.com,veneers,свободен,13,7.8,RDAP 404; DNS пустой
veneersbyraim.com,veneers,свободен,13,7.8,RDAP 404; DNS пустой
araimov.com,personal,свободен,7,7.5,RDAP 404; DNS пустой
raimapp.com,suffix,свободен,7,7.5,RDAP 404; DNS пустой
raimara.com,creative,свободен,7,7.5,RDAP 404; DNS пустой
raimhub.com,suffix,свободен,7,7.5,"Tech-хаб, слабее эстетика"
raimova.com,creative,свободен,7,7.5,RDAP 404; DNS пустой
raimray.com,creative,свободен,7,7.5,RDAP 404; DNS пустой
raimsys.com,suffix,свободен,7,7.5,RDAP 404; DNS пустой
raimway.com,suffix,свободен,7,7.5,RDAP 404; DNS пустой
dratabek.com,personal,свободен,8,7.5,RDAP 404; DNS пустой
raimovmd.com,personal,свободен,8,7.5,RDAP 404; DNS пустой
raim24.com,number,свободен,6,7.0,RDAP 404; DNS пустой
raim360.com,number,свободен,7,7.0,RDAP 404; DNS пустой
raim365.com,number,свободен,7,7.0,RDAP 404; DNS пустой
raimclinic.com,dental,свободен,10,7.0,Путаница с raimovdental.com
raimadvanced.com,creative,свободен,12,7.0,RDAP 404; DNS пустой
raimintegration.com,creative,свободен,15,7.0,Длинный (15) — на грани
raim-lab.com,hyphen,свободен,8,6.7,RDAP 404; DNS пустой
raim-pro.com,hyphen,свободен,8,6.7,RDAP 404; DNS пустой
raim-smile.com,hyphen,свободен,10,6.7,RDAP 404; DNS пустой
raimdental.com,dental,свободен,10,6.5,"История: 라임치과 (KR, 2018)"
raim-dental.com,hyphen,свободен,11,6.2,RDAP 404; DNS пустой
raim-veneers.com,hyphen,свободен,12,6.2,RDAP 404; DNS пустой
drraim.com,prefix,свободен,6,6.0,Конфликт фонетики Dr. Rai
goraim.com,prefix,занят,6,—,Занят (Hostinger)
getraim.com,prefix,занят,7,—,Занят
raimart.com,aesthetic,занят,7,—,Занят
raimlab.com,suffix,занят,7,—,Занят (Wix)
raimora.com,creative,занят,7,—,Занят (GoDaddy)
useraim.com,prefix,занят,7,—,Занят (Namecheap)
joinraim.com,prefix,занят,8,—,Занят (Dynadot)
raimtech.com,suffix,занят,8,—,Занят
raimstudio.com,method,занят,10,—,Занят (GoDaddy)
